OBJECTID,Site_Description,Date_Sample_Collected,Result_Name,Result_Label
245,Mundoo Barrage Downstream,23/03/2026,Dinophysis acuta,0 Cells/L
246,Mundoo Barrage Downstream,23/03/2026,Dinophysis caudata,0 Cells/L
247,Mundoo Barrage Downstream,23/03/2026,Gymnodinium catenatum,0 Cells/L
248,Mundoo Barrage Downstream,23/03/2026,Karenia sp.,0 Cells/L
249,Mundoo Barrage Downstream,23/03/2026,Karlodinium sp.,0 Cells/L
250,Mundoo Barrage Downstream,23/03/2026,Prorocentrum lima,0 Cells/L
251,Mundoo Barrage Downstream,6/08/2025,Karenia sp.,0 Cells/L
252,Mundoo Barrage Downstream,6/08/2025,Katodinium sp.,0 Cells/L
253,Mundoo Barrage Downstream,3/02/2026,Pseudo-nitzschia,0 Cells/L
254,Mundoo Barrage Downstream,3/02/2026,Alexandrium catenella,0 Cells/L
255,Mundoo Barrage Downstream,3/02/2026,Alexandrium cysts,0 Cells/L
256,Mundoo Barrage Downstream,3/02/2026,Alexandrium margalefi,0 Cells/L
257,Mundoo Barrage Downstream,3/02/2026,Alexandrium minutum,0 Cells/L
258,Mundoo Barrage Downstream,3/02/2026,Alexandrium ostenfeldii,0 Cells/L
259,Mundoo Barrage Downstream,3/02/2026,Alexandrium sp.,0 Cells/L
260,Mundoo Barrage Downstream,3/02/2026,Alexandrium tamarense,0 Cells/L
261,Mundoo Barrage Downstream,3/02/2026,Dinophysis acuminata,0 Cells/L
262,Mundoo Barrage Downstream,3/02/2026,Dinophysis acuta,0 Cells/L
263,Mundoo Barrage Downstream,3/02/2026,Dinophysis caudata,0 Cells/L
264,Mundoo Barrage Downstream,3/02/2026,Gymnodinium catenatum,0 Cells/L
265,Mundoo Barrage Downstream,3/02/2026,Karenia sp.,0 Cells/L
266,Mundoo Barrage Downstream,3/02/2026,Karlodinium sp.,0 Cells/L
267,Mundoo Barrage Downstream,3/02/2026,Prorocentrum lima,0 Cells/L
268,Mundoo Barrage Downstream,14/10/2025,Pseudo-nitzschia,0 Cells/L
269,Mundoo Barrage Downstream,14/10/2025,Alexandrium catenella,0 Cells/L
270,Mundoo Barrage Downstream,14/10/2025,Alexandrium cysts,0 Cells/L
271,Mundoo Barrage Downstream,14/10/2025,Alexandrium margalefi,0 Cells/L
272,Mundoo Barrage Downstream,14/10/2025,Alexandrium minutum,0 Cells/L
273,Mundoo Barrage Downstream,14/10/2025,Alexandrium ostenfeldii,0 Cells/L
274,Mundoo Barrage Downstream,14/10/2025,Alexandrium sp.,0 Cells/L
275,Mundoo Barrage Downstream,14/10/2025,Alexandrium tamarense,0 Cells/L
276,Mundoo Barrage Downstream,14/10/2025,Dinophysis acuminata,0 Cells/L
277,Mundoo Barrage Downstream,14/10/2025,Dinophysis acuta,0 Cells/L
278,Mundoo Barrage Downstream,14/10/2025,Dinophysis caudata,0 Cells/L
279,Mundoo Barrage Downstream,14/10/2025,Gymnodinium catenatum,0 Cells/L
280,Mundoo Barrage Downstream,14/10/2025,Karenia sp.,0 Cells/L
281,Mundoo Barrage Downstream,14/10/2025,Karlodinium sp.,0 Cells/L
282,Mundoo Barrage Downstream,14/10/2025,Prorocentrum lima,0 Cells/L
